cbsacode,metrodivisioncode,csacode,cbsatitle,metropolitanmicropolitanstatis,metropolitandivisiontitle,csatitle,countycountyequivalent,statename,fipsstatecode,fipscountycode,centraloutlyingcounty
27540,,,"Jasper, IN",Micropolitan Statistical Area,,,Dubois County,Indiana,18,37,Central
21140,,515,"Elkhart-Goshen, IN",Metropolitan Statistical Area,,"South Bend-Elkhart-Mishawaka, IN-MI",Elkhart County,Indiana,18,39,Central
18220,,458,"Connersville, IN",Micropolitan Statistical Area,,"Richmond-Connersville, IN",Fayette County,Indiana,18,41,Central
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Floyd County,Indiana,18,43,Central
31980,,,"Marion, IN",Micropolitan Statistical Area,,,Grant County,Indiana,18,53,Central
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Hamilton County,Indiana,18,57,Central
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Hancock County,Indiana,18,59,Central
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Harrison County,Indiana,18,61,Outlying
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Hendricks County,Indiana,18,63,Central
35220,,294,"New Castle, IN",Micropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Henry County,Indiana,18,65,Central
29020,,316,"Kokomo, IN",Metropolitan Statistical Area,,"Kokomo-Peru, IN",Howard County,Indiana,18,67,Central
26540,,258,"Huntington, IN",Micropolitan Statistical Area,,"Fort Wayne-Huntington-Auburn, IN",Huntington County,Indiana,18,69,Central
42980,,294,"Seymour, IN",Micropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Jackson County,Indiana,18,71,Central
16980,23844,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Gary, IN","Chicago-Naperville, IL-IN-WI",Jasper County,Indiana,18,73,Outlying
31500,,350,"Madison, IN",Micropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Jefferson County,Indiana,18,77,Central
35860,,294,"North Vernon, IN",Micropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Jennings County,Indiana,18,79,Central
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Johnson County,Indiana,18,81,Central
47180,,,"Vincennes, IN",Micropolitan Statistical Area,,,Knox County,Indiana,18,83,Central
47700,,,"Warsaw, IN",Micropolitan Statistical Area,,,Kosciusko County,Indiana,18,85,Central
16980,23844,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Gary, IN","Chicago-Naperville, IL-IN-WI",Lake County,Indiana,18,89,Central
33140,,176,"Michigan City-La Porte, IN",Metropolitan Statistical Area,,"Chicago-Naperville, IL-IN-WI",LaPorte County,Indiana,18,91,Central
13260,,144,"Bedford, IN",Micropolitan Statistical Area,,"Bloomington-Bedford, IN",Lawrence County,Indiana,18,93,Central
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Madison County,Indiana,18,95,Outlying
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Marion County,Indiana,18,97,Central
38500,,515,"Plymouth, IN",Micropolitan Statistical Area,,"South Bend-Elkhart-Mishawaka, IN-MI",Marshall County,Indiana,18,99,Central
37940,,316,"Peru, IN",Micropolitan Statistical Area,,"Kokomo-Peru, IN",Miami County,Indiana,18,103,Central
14020,,144,"Bloomington, IN",Metropolitan Statistical Area,,"Bloomington-Bedford, IN",Monroe County,Indiana,18,105,Central
18820,,294,"Crawfordsville, IN",Micropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Montgomery County,Indiana,18,107,Central
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Morgan County,Indiana,18,109,Central
16980,23844,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Gary, IN","Chicago-Naperville, IL-IN-WI",Newton County,Indiana,18,111,Outlying
28340,,258,"Kendallville, IN",Micropolitan Statistical Area,,"Fort Wayne-Huntington-Auburn, IN",Noble County,Indiana,18,113,Central
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Ohio County,Indiana,18,115,Outlying
14020,,144,"Bloomington, IN",Metropolitan Statistical Area,,"Bloomington-Bedford, IN",Owen County,Indiana,18,119,Outlying
27540,,,"Jasper, IN",Micropolitan Statistical Area,,,Pike County,Indiana,18,125,Outlying
16980,23844,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Gary, IN","Chicago-Naperville, IL-IN-WI",Porter County,Indiana,18,127,Central
21780,,,"Evansville, IN-KY",Metropolitan Statistical Area,,,Posey County,Indiana,18,129,Outlying
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Putnam County,Indiana,18,133,Outlying
43780,,515,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area,,"South Bend-Elkhart-Mishawaka, IN-MI",St. Joseph County,Indiana,18,141,Central
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Scott County,Indiana,18,143,Outlying
26900,,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Shelby County,Indiana,18,145,Outlying
11420,,258,"Angola, IN",Micropolitan Statistical Area,,"Fort Wayne-Huntington-Auburn, IN",Steuben County,Indiana,18,151,Central
45460,,,"Terre Haute, IN",Metropolitan Statistical Area,,,Sullivan County,Indiana,18,153,Outlying
29200,,320,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,,"Lafayette-West Lafayette-Frankfort, IN",Tippecanoe County,Indiana,18,157,Central
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Union County,Indiana,18,161,Outlying
21780,,,"Evansville, IN-KY",Metropolitan Statistical Area,,,Vanderburgh County,Indiana,18,163,Central
45460,,,"Terre Haute, IN",Metropolitan Statistical Area,,,Vermillion County,Indiana,18,165,Outlying
45460,,,"Terre Haute, IN",Metropolitan Statistical Area,,,Vigo County,Indiana,18,167,Central
47340,,,"Wabash, IN",Micropolitan Statistical Area,,,Wabash County,Indiana,18,169,Central
21780,,,"Evansville, IN-KY",Metropolitan Statistical Area,,,Warrick County,Indiana,18,173,Central
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Washington County,Indiana,18,175,Outlying
39980,,458,"Richmond, IN",Micropolitan Statistical Area,,"Richmond-Connersville, IN",Wayne County,Indiana,18,177,Central
23060,,258,"Fort Wayne, IN",Metropolitan Statistical Area,,"Fort Wayne-Huntington-Auburn, IN",Wells County,Indiana,18,179,Outlying
23060,,258,"Fort Wayne, IN",Metropolitan Statistical Area,,"Fort Wayne-Huntington-Auburn, IN",Whitley County,Indiana,18,183,Outlying
16300,,168,"Cedar Rapids, IA",Metropolitan Statistical Area,,"Cedar Rapids-Iowa City, IA",Benton County,Iowa,19,11,Outlying
47940,,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,,,Black Hawk County,Iowa,19,13,Central
14340,,218,"Boone, IA",Micropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Boone County,Iowa,19,15,Central
47940,,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,,,Bremer County,Iowa,19,17,Outlying
44740,,,"Storm Lake, IA",Micropolitan Statistical Area,,,Buena Vista County,Iowa,19,21,Central
32380,,,"Mason City, IA",Micropolitan Statistical Area,,,Cerro Gordo County,Iowa,19,33,Central
43980,,,"Spencer, IA",Micropolitan Statistical Area,,,Clay County,Iowa,19,41,Central
17540,,209,"Clinton, IA",Micropolitan Statistical Area,,"Davenport-Moline, IA-IL",Clinton County,Iowa,19,45,Central
19780,,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Dallas County,Iowa,19,49,Central
36900,,,"Ottumwa, IA",Micropolitan Statistical Area,,,Davis County,Iowa,19,51,Outlying
15460,,,"Burlington, IA-IL",Micropolitan Statistical Area,,,Des Moines County,Iowa,19,57,Central
44020,,,"Spirit Lake, IA",Micropolitan Statistical Area,,,Dickinson County,Iowa,19,59,Central
20220,,,"Dubuque, IA",Metropolitan Statistical Area,,,Dubuque County,Iowa,19,61,Central
47940,,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,,,Grundy County,Iowa,19,75,Outlying
19780,,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Guthrie County,Iowa,19,77,Outlying
36540,,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,,"Omaha-Council Bluffs-Fremont, NE-IA",Harrison County,Iowa,19,85,Outlying
35500,,218,"Newton, IA",Micropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Jasper County,Iowa,19,99,Central
21840,,,"Fairfield, IA",Micropolitan Statistical Area,,,Jefferson County,Iowa,19,101,Central
26980,,168,"Iowa City, IA",Metropolitan Statistical Area,,"Cedar Rapids-Iowa City, IA",Johnson County,Iowa,19,103,Central
16300,,168,"Cedar Rapids, IA",Metropolitan Statistical Area,,"Cedar Rapids-Iowa City, IA",Jones County,Iowa,19,105,Outlying
22800,,,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,,,Lee County,Iowa,19,111,Central
16300,,168,"Cedar Rapids, IA",Metropolitan Statistical Area,,"Cedar Rapids-Iowa City, IA",Linn County,Iowa,19,113,Central
19780,,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Madison County,Iowa,19,121,Outlying
36820,,,"Oskaloosa, IA",Micropolitan Statistical Area,,,Mahaska County,Iowa,19,123,Central
32260,,,"Marshalltown, IA",Micropolitan Statistical Area,,,Marshall County,Iowa,19,127,Central
36540,,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,,"Omaha-Council Bluffs-Fremont, NE-IA",Mills County,Iowa,19,129,Outlying
34700,,209,"Muscatine, IA",Micropolitan Statistical Area,,"Davenport-Moline, IA-IL",Muscatine County,Iowa,19,139,Central
43580,,512,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,,"Sioux City-Vermillion, IA-SD-NE",Plymouth County,Iowa,19,149,Outlying
19780,,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Polk County,Iowa,19,153,Central
36540,,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,,"Omaha-Council Bluffs-Fremont, NE-IA",Pottawattamie County,Iowa,19,155,Central
19340,,209,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,,"Davenport-Moline, IA-IL",Scott County,Iowa,19,163,Central
11180,,218,"Ames, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Story County,Iowa,19,169,Central
36900,,,"Ottumwa, IA",Micropolitan Statistical Area,,,Wapello County,Iowa,19,179,Central
19780,,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Warren County,Iowa,19,181,Outlying
26980,,168,"Iowa City, IA",Metropolitan Statistical Area,,"Cedar Rapids-Iowa City, IA",Washington County,Iowa,19,183,Outlying
22700,,,"Fort Dodge, IA",Micropolitan Statistical Area,,,Webster County,Iowa,19,187,Central
43580,,512,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,,"Sioux City-Vermillion, IA-SD-NE",Woodbury County,Iowa,19,193,Central
32380,,,"Mason City, IA",Micropolitan Statistical Area,,,Worth County,Iowa,19,195,Outlying
11860,,312,"Atchison, KS",Micropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Atchison County,Kansas,20,5,Central
24460,,,"Great Bend, KS",Micropolitan Statistical Area,,,Barton County,Kansas,20,9,Central
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Butler County,Kansas,20,15,Outlying
11680,,556,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Cowley County,Kansas,20,35,Central
38260,,,"Pittsburg, KS",Micropolitan Statistical Area,,,Crawford County,Kansas,20,37,Central
41140,,312,"St. Joseph, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Doniphan County,Kansas,20,43,Outlying
29940,,312,"Lawrence, KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Douglas County,Kansas,20,45,Central
25700,,,"Hays, KS",Micropolitan Statistical Area,,,Ellis County,Kansas,20,51,Central
23780,,,"Garden City, KS",Micropolitan Statistical Area,,,Finney County,Kansas,20,55,Central
19980,,,"Dodge City, KS",Micropolitan Statistical Area,,,Ford County,Kansas,20,57,Central
36840,,312,"Ottawa, KS",Micropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Franklin County,Kansas,20,59,Central
27920,,358,"Junction City, KS",Micropolitan Statistical Area,,"Manhattan-Junction City, KS",Geary County,Kansas,20,61,Central
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Harvey County,Kansas,20,79,Outlying
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Jackson County,Kansas,20,85,Outlying
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Jefferson County,Kansas,20,87,Outlying
28140,,312,"Kansas City, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Johnson County,Kansas,20,91,Central
23780,,,"Garden City, KS",Micropolitan Statistical Area,,,Kearny County,Kansas,20,93,Outlying
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Kingman County,Kansas,20,95,Outlying
37660,,,"Parsons, KS",Micropolitan Statistical Area,,,Labette County,Kansas,20,99,Central
28140,,312,"Kansas City, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Leavenworth County,Kansas,20,103,Outlying
28140,,312,"Kansas City, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Linn County,Kansas,20,107,Outlying
21380,,,"Emporia, KS",Micropolitan Statistical Area,,,Lyon County,Kansas,20,111,Central
32700,,,"McPherson, KS",Micropolitan Statistical Area,,,McPherson County,Kansas,20,113,Central
28140,,312,"Kansas City, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Miami County,Kansas,20,121,Outlying
17700,,,"Coffeyville, KS",Micropolitan Statistical Area,,,Montgomery County,Kansas,20,125,Central
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Osage County,Kansas,20,139,Outlying
41460,,,"Salina, KS",Micropolitan Statistical Area,,,Ottawa County,Kansas,20,143,Outlying
31740,,358,"Manhattan, KS",Metropolitan Statistical Area,,"Manhattan-Junction City, KS",Pottawatomie County,Kansas,20,149,Outlying
26740,,,"Hutchinson, KS",Micropolitan Statistical Area,,,Reno County,Kansas,20,155,Central
31740,,358,"Manhattan, KS",Metropolitan Statistical Area,,"Manhattan-Junction City, KS",Riley County,Kansas,20,161,Central
41460,,,"Salina, KS",Micropolitan Statistical Area,,,Saline County,Kansas,20,169,Central
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Sedgwick County,Kansas,20,173,Central
30580,,,"Liberal, KS",Micropolitan Statistical Area,,,Seward County,Kansas,20,175,Central
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Shawnee County,Kansas,20,177,Central
48620,,556,"Wichita, KS",Metropolitan Statistical Area,,"Wichita-Arkansas City-Winfield, KS",Sumner County,Kansas,20,191,Outlying
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Wabaunsee County,Kansas,20,197,Outlying
28140,,312,"Kansas City, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Wyandotte County,Kansas,20,209,Central
14540,,150,"Bowling Green, KY",Metropolitan Statistical Area,,"Bowling Green-Glasgow, KY",Allen County,Kentucky,21,3,Outlying
23180,,336,"Frankfort, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Anderson County,Kentucky,21,5,Outlying
37140,,424,"Paducah, KY-IL",Micropolitan Statistical Area,,"Paducah-Mayfield, KY-IL",Ballard County,Kentucky,21,7,Outlying
23980,,150,"Glasgow, KY",Micropolitan Statistical Area,,"Bowling Green-Glasgow, KY",Barren County,Kentucky,21,9,Central
34460,,336,"Mount Sterling, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Bath County,Kentucky,21,11,Outlying
33180,,,"Middlesborough, KY",Micropolitan Statistical Area,,,Bell County,Kentucky,21,13,Central
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Boone County,Kentucky,21,15,Central
30460,,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Bourbon County,Kentucky,21,17,Outlying
26580,,170,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,,"Charleston-Huntington-Ashland, WV-OH-KY",Boyd County,Kentucky,21,19,Central
19220,,,"Danville, KY",Micropolitan Statistical Area,,,Boyle County,Kentucky,21,21,Central
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Bracken County,Kentucky,21,23,Outlying
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Bullitt County,Kentucky,21,29,Central
14540,,150,"Bowling Green, KY",Metropolitan Statistical Area,,"Bowling Green-Glasgow, KY",Butler County,Kentucky,21,31,Outlying
34660,,,"Murray, KY",Micropolitan Statistical Area,,,Calloway County,Kentucky,21,35,Central
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Campbell County,Kentucky,21,37,Central
17300,,,"Clarksville, TN-KY",Metropolitan Statistical Area,,,Christian County,Kentucky,21,47,Outlying
30460,,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Clark County,Kentucky,21,49,Outlying
36980,,,"Owensboro, KY",Metropolitan Statistical Area,,,Daviess County,Kentucky,21,59,Central
14540,,150,"Bowling Green, KY",Metropolitan Statistical Area,,"Bowling Green-Glasgow, KY",Edmonson County,Kentucky,21,61,Outlying
30460,,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Fayette County,Kentucky,21,67,Central
23180,,336,"Frankfort, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Franklin County,Kentucky,21,73,Central
46460,,362,"Union City, TN-KY",Micropolitan Statistical Area,,"Martin-Union City, TN-KY",Fulton County,Kentucky,21,75,Outlying
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Gallatin County,Kentucky,21,77,Outlying
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Grant County,Kentucky,21,81,Outlying
32460,,424,"Mayfield, KY",Micropolitan Statistical Area,,"Paducah-Mayfield, KY-IL",Graves County,Kentucky,21,83,Central
26580,,170,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,,"Charleston-Huntington-Ashland, WV-OH-KY",Greenup County,Kentucky,21,89,Central
36980,,,"Owensboro, KY",Metropolitan Statistical Area,,,Hancock County,Kentucky,21,91,Outlying
21060,,350,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Hardin County,Kentucky,21,93,Central
21780,,,"Evansville, IN-KY",Metropolitan Statistical Area,,,Henderson County,Kentucky,21,101,Central
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Henry County,Kentucky,21,103,Outlying
31580,,,"Madisonville, KY",Micropolitan Statistical Area,,,Hopkins County,Kentucky,21,107,Central
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Jefferson County,Kentucky,21,111,Central
30460,,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Jessamine County,Kentucky,21,113,Outlying
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Kenton County,Kentucky,21,117,Central
30940,,,"London, KY",Micropolitan Statistical Area,,,Knox County,Kentucky,21,121,Central
21060,,350,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Larue County,Kentucky,21,123,Outlying
30940,,,"London, KY",Micropolitan Statistical Area,,,Laurel County,Kentucky,21,125,Central
19220,,,"Danville, KY",Micropolitan Statistical Area,,,Lincoln County,Kentucky,21,137,Outlying
37140,,424,"Paducah, KY-IL",Micropolitan Statistical Area,,"Paducah-Mayfield, KY-IL",Livingston County,Kentucky,21,139,Outlying
37140,,424,"Paducah, KY-IL",Micropolitan Statistical Area,,"Paducah-Mayfield, KY-IL",McCracken County,Kentucky,21,145,Central
36980,,,"Owensboro, KY",Metropolitan Statistical Area,,,McLean County,Kentucky,21,149,Outlying
40080,,336,"Richmond-Berea, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Madison County,Kentucky,21,151,Central
32500,,178,"Maysville, KY",Micropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Mason County,Kentucky,21,161,Central
21060,,350,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Meade County,Kentucky,21,163,Outlying
34460,,336,"Mount Sterling, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Menifee County,Kentucky,21,165,Outlying
23980,,150,"Glasgow, KY",Micropolitan Statistical Area,,"Bowling Green-Glasgow, KY",Metcalfe County,Kentucky,21,169,Outlying
34460,,336,"Mount Sterling, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Montgomery County,Kentucky,21,173,Central
12680,,350,"Bardstown, KY",Micropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Nelson County,Kentucky,21,179,Central
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Oldham County,Kentucky,21,185,Central
17140,,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Pendleton County,Kentucky,21,191,Outlying
43700,,,"Somerset, KY",Micropolitan Statistical Area,,,Pulaski County,Kentucky,21,199,Central
40080,,336,"Richmond-Berea, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Rockcastle County,Kentucky,21,203,Outlying
30460,,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Scott County,Kentucky,21,209,Outlying
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Shelby County,Kentucky,21,211,Outlying
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Spencer County,Kentucky,21,215,Outlying
15820,,,"Campbellsville, KY",Micropolitan Statistical Area,,,Taylor County,Kentucky,21,217,Central
17300,,,"Clarksville, TN-KY",Metropolitan Statistical Area,,,Trigg County,Kentucky,21,221,Outlying
31140,,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",Trimble County,Kentucky,21,223,Outlying
14540,,150,"Bowling Green, KY",Metropolitan Statistical Area,,"Bowling Green-Glasgow, KY",Warren County,Kentucky,21,227,Central
30940,,,"London, KY",Micropolitan Statistical Area,,,Whitley County,Kentucky,21,235,Central
30460,,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Woodford County,Kentucky,21,239,Outlying
29180,,318,"Lafayette, LA",Metropolitan Statistical Area,,"Lafayette-Opelousas-Morgan City, LA",Acadia Parish,Louisiana,22,1,Outlying
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,,,Ascension Parish,Louisiana,22,5,Central
19760,,217,"DeRidder, LA",Micropolitan Statistical Area,,"DeRidder-Fort Polk South, LA",Beauregard Parish,Louisiana,22,11,Central
43340,,,"Shreveport-Bossier City, LA",Metropolitan Statistical Area,,,Bossier Parish,Louisiana,22,15,Central
43340,,,"Shreveport-Bossier City, LA",Metropolitan Statistical Area,,,Caddo Parish,Louisiana,22,17,Central
29340,,,"Lake Charles, LA",Metropolitan Statistical Area,,,Calcasieu Parish,Louisiana,22,19,Central
29340,,,"Lake Charles, LA",Metropolitan Statistical Area,,,Cameron Parish,Louisiana,22,23,Outlying
35020,,,"Natchez, MS-LA",Micropolitan Statistical Area,,,Concordia Parish,Louisiana,22,29,Central
43340,,,"Shreveport-Bossier City, LA",Metropolitan Statistical Area,,,De Soto Parish,Louisiana,22,31,Outlying
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,,,East Baton Rouge Parish,Louisiana,22,33,Central
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,,,East Feliciana Parish,Louisiana,22,37,Outlying
10780,,,"Alexandria, LA",Metropolitan Statistical Area,,,Grant Parish,Louisiana,22,43,Outlying
29180,,318,"Lafayette, LA",Metropolitan Statistical Area,,"Lafayette-Opelousas-Morgan City, LA",Iberia Parish,Louisiana,22,45,Central
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,,,Iberville Parish,Louisiana,22,47,Central
35380,,406,"New Orleans-Metairie, LA",Metropolitan Statistical Area,,"New Orleans-Metairie-Hammond, LA-MS",Jefferson Parish,Louisiana,22,51,Central
29180,,318,"Lafayette, LA",Metropolitan Statistical Area,,"Lafayette-Opelousas-Morgan City, LA",Lafayette Parish,Louisiana,22,55,Central
26380,,,"Houma-Thibodaux, LA",Metropolitan Statistical Area,,,Lafourche Parish,Louisiana,22,57,Central
40820,,384,"Ruston, LA",Micropolitan Statistical Area,,"Monroe-Ruston-Bastrop, LA",Lincoln Parish,Louisiana,22,61,Central
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,,,Livingston Parish,Louisiana,22,63,Central
